Tool,Speed,Accuracy,Creativity,Technical,Cost_Effectiveness,Total_Score
Phind,8,9,9,8,10,44
Firebase Studio,8,8,9,9,9,43
v0 by Vercel,9,9,9,9,7,43
Claude AI,8,9,9,9,7,42
Kimi AI,6,9,8,9,10,42
Cursor,8,9,8,9,7,41
GitHub Copilot,8,9,8,9,7,41
ChatGPT,9,8,8,8,8,41
Trae AI,8,8,8,9,8,41
Aider,8,8,8,8,8,40
Continue,8,8,8,8,8,40
ZAI Chat,8,7,7,8,10,40
Zed Editor,8,8,8,8,7,39
Sourcegraph Cody,8,8,8,8,7,39
Amazon Q Developer,8,8,7,8,8,39
Windsurf Editor,8,8,8,8,7,39
Lovable,8,7,8,8,7,38
Bolt,8,7,8,8,7,38
Codeium,8,8,7,8,7,38
Replit AI,8,8,7,8,6,37
Blackbox AI,7,7,7,8,7,36
